index,DD_original_shape_SurfaceArea,DD_original_glrlm_RunLengthNonUniformity,DD_log-sigma-3-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,DD_log-sigma-3-0-mm-3D_glszm_SmallAreaEmphasis,DD_log-sigma-4-0-mm-3D_glszm_SmallAreaEmphasis,DD_wavelet-LLH_glszm_GrayLevelNonUniformity,DD_wavelet-LHL_glszm_GrayLevelNonUniformityNormalized,DD_lbp-3D-m1_firstorder_Mean,DD_logarithm_glszm_SmallAreaLowGrayLevelEmphasis
HN-CHUS-030,-0.6637905695704764,-0.7505099936463009,1.126571157662887,-1.1619751915009326,-1.009071452455955,-0.6991866691413251,1.7694263603676617,-0.6898007167741113,-0.9340435128319636
HN-CHUS-031,-0.6414071825603347,-0.7567473981873604,0.980835255889758,-2.225252255294536,-1.1904034618178103,-0.7709688205743194,0.8651733093353958,-0.2801040718716246,-0.951728165566202
HN-CHUS-032,-0.0278481884561678,-0.6528837716100474,4.6992412105347805,0.4031314216973696,-0.4305796342825799,-0.7105206930517979,0.818199124866187,-0.1423443090900693,1.0499310996335516
HN-CHUS-033,-0.9452238495306868,-0.786670046195732,-0.0372155956491585,-1.9287919215897475,-1.0581272557418653,-0.9107551154701504,2.187966343988311,1.033258908483917,-0.6495176759451201
HN-CHUS-034,-0.6675960399437453,-0.9847974705032384,5.353469402370507,0.3974725350406089,1.1394063593069783,-0.7961555403753701,0.818199124866187,-0.0968342978787055,-1.0040094683278131
HN-CHUS-035,0.2994306002245202,1.16426678402575,-0.0967066266029018,-0.5041900841072107,-0.5729112375706187,-0.0212646048376807,-0.8728715160253234,0.7014151254460799,0.2809007070576668
HN-CHUS-036,-0.614517081035074,-0.3915740278127378,-0.0592125833533795,-0.3804631159599348,-0.482323269264344,-0.8506504432176433,-0.608641728386025,0.1349257233671125,-0.6437663699803586
HN-CHUS-037,-0.8083083036524921,-0.8242984419232308,0.5996223375583594,-0.4048820331812799,-1.0686234880163672,-0.6668637120633102,1.2409667850890649,0.5707296998572785,-0.8640274916633842
HN-CHUS-038,0.1501824958886881,0.6910751137169306,-0.0671904348711897,-0.8287425169098015,-1.5755771866732056,-0.417095407369558,-0.8803122268452462,0.4827880084984735,-0.2288504845943495
HN-CHUS-039,1.0415795402551349,1.8303175906599245,-1.0560151113342673,1.9979116936896508,1.96929814619926,0.8167273683659835,-1.6217831626479515,0.1342462436157823,-0.3305367777022229
HN-CHUS-040,-0.498249265052202,-0.6061478078052495,0.556456352465499,1.1190546871441922,0.1360647318427747,-0.8616410118581016,-0.5339585983259925,0.9820525888767316,-0.3712535827364306
HN-CHUS-042,-0.9323934836677228,-0.8164096579460829,0.8675798773461059,-1.0526868156529925,1.02682403841463,-0.873730637362606,2.187966343988311,1.259579340064931,0.29976728256203
HN-CHUS-043,0.741243138329276,0.4624596389124327,-0.1994430842310213,0.347908130797099,-0.9009010427948576,-0.5023104760297794,1.4583444856195429,0.2247125753677834,-0.3746344458227297
HN-CHUS-044,-0.526983514617841,-0.3738781860024709,-0.4835335933004271,-0.2126177165672552,0.0522045339303259,-0.6198485017680156,-0.748528086548007,0.135228641581562,-0.8732119614985872
HN-CHUS-045,1.863268928678283,3.1102285869656137,-0.8138755125430737,0.2313689535444488,1.1128407670657887,0.2345625314830096,-0.3708349195106563,-0.2905852749726918,-0.0791399359755947
HN-CHUS-046,-0.9483142375924256,-0.9330643089176652,1.9140622502687488,-0.157264535115096,-0.944008347980033,-0.9372011712612536,1.7694263603676617,-0.8502440098525874,2.0030053208574348
HN-CHUS-047,-0.5928959011725367,-0.4238813899881284,-0.6815021488125387,-0.8102282310184478,-0.4192651724625421,-0.6198485017680156,-0.8464485372613937,0.1861885187052927,-0.748828310759798
HN-CHUS-048,-0.5616585256960246,-0.4372606183274401,-0.1525889071911827,0.5555283090112058,-0.6542299860787416,-0.5457995455529268,-0.9677785417896428,0.8853147580008996,-0.1772827722946044
HN-CHUS-049,-0.2474589206585573,-0.4864269056052596,-0.9562689279860862,0.3735730289145608,0.7267118415717116,-0.6198485017680156,-0.8720723333027851,0.953961455363366,-0.2564830055582787
HN-CHUS-050,-0.992495335367712,-0.9026824146977908,2.0844503426162047,-2.256866596060552,-1.6809927559127626,-0.6668637120633102,-0.0273361955795682,0.0501643039619446,-0.5398964850118123
