Variable,P-value
DD_log-sigma-3-0-mm-3D_glcm_Correlation,0.43914142489667324
DD_log-sigma-3-0-mm-3D_glcm_Imc1,0.323064172702681
DD_log-sigma-3-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,0.9782539971726603
DD_log-sigma-3-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,0.35748155835028655
DD_log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformity,0.05194453663311985
DD_log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.5697165141663476
DD_log-sigma-3-0-mm-3D_glszm_LargeAreaEmphasis,0.03299520967115779
DD_log-sigma-3-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.04173450518720514
DD_log-sigma-3-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,0.34490680428338993
DD_log-sigma-3-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.4883460898509096
DD_log-sigma-3-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.5368806212853081
DD_log-sigma-3-0-mm-3D_glszm_SmallAreaEmphasis,0.02966843772413096
DD_log-sigma-3-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.8227789914454768
DD_log-sigma-3-0-mm-3D_gldm_DependenceVariance,0.04033469074414016
DD_log-sigma-4-0-mm-3D_firstorder_Kurtosis,0.014957773927950549
DD_log-sigma-4-0-mm-3D_firstorder_Skewness,0.8294247098989006
DD_log-sigma-4-0-mm-3D_glcm_Contrast,0.8732139852246263
DD_log-sigma-4-0-mm-3D_glcm_Imc1,0.4783065163287189
DD_log-sigma-4-0-mm-3D_glcm_Imc2,0.8227789914454768
DD_log-sigma-4-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,0.016070700246348293
DD_log-sigma-4-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,0.9047559202140856
DD_log-sigma-4-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.9863491858908294
DD_log-sigma-4-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.21208159972534596
DD_log-sigma-4-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.7349420124005864
DD_log-sigma-4-0-mm-3D_glszm_SmallAreaEmphasis,0.8235291784247072
DD_log-sigma-4-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.45475967365574277
DD_log-sigma-4-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.19574002615627334
DD_wavelet-LLH_firstorder_10Percentile,0.8732139852246263
DD_wavelet-LLH_firstorder_Kurtosis,0.24884493188629073
DD_wavelet-LLH_firstorder_Maximum,0.2784308908046004
DD_wavelet-LLH_firstorder_Minimum,0.06463873554969313
DD_wavelet-LLH_firstorder_Skewness,0.17648600146468005
DD_wavelet-LLH_glcm_ClusterShade,0.8485183672326537
DD_wavelet-LLH_glcm_ClusterTendency,0.9047559202140856
DD_wavelet-LLH_glcm_Contrast,0.6214843502338135
DD_wavelet-LLH_glcm_Correlation,0.6432681047307098
DD_wavelet-LLH_glcm_Imc1,0.5392012389118194
DD_wavelet-LLH_glcm_Imc2,0.48766530698009136
DD_wavelet-LLH_glrlm_LongRunEmphasis,0.11470256120457702
DD_wavelet-LLH_glrlm_LongRunLowGrayLevelEmphasis,0.7906279532936105
DD_wavelet-LLH_glrlm_LowGrayLevelRunEmphasis,0.3135390801307147
DD_wavelet-LLH_glszm_GrayLevelNonUniformity,0.01083463402420533
DD_wavelet-LLH_glszm_GrayLevelNonUniformityNormalized,0.8518113585341198
DD_wavelet-LLH_glszm_LargeAreaHighGrayLevelEmphasis,0.15393501258039097
DD_wavelet-LLH_glszm_LargeAreaLowGrayLevelEmphasis,0.48766530698009136
DD_wavelet-LLH_glszm_LowGrayLevelZoneEmphasis,0.304556757258268
DD_wavelet-LLH_glszm_SizeZoneNonUniformityNormalized,0.4942729743714097
DD_wavelet-LLH_glszm_SmallAreaEmphasis,0.05651581112788962
DD_wavelet-LLH_glszm_SmallAreaLowGrayLevelEmphasis,0.8294247098989006
DD_wavelet-LLH_glszm_ZoneEntropy,0.3350995452874083
DD_wavelet-LLH_gldm_DependenceEntropy,0.288444776960931
DD_wavelet-LLH_gldm_DependenceVariance,0.05954608949506112
DD_wavelet-LLH_gldm_LargeDependenceLowGrayLevelEmphasis,0.7992972775767636
DD_wavelet-LHL_firstorder_Entropy,0.35076392925794964
DD_wavelet-LHL_firstorder_Kurtosis,0.5792790419339635
DD_wavelet-LHL_firstorder_Maximum,0.27869349233030266
DD_wavelet-LHL_firstorder_Skewness,0.703555828015439
DD_wavelet-LHL_firstorder_Uniformity,0.24884493188629073
DD_wavelet-LHL_glcm_ClusterShade,0.794422526989393
